Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Q7FElJ0qWZUUL0QeQh3hE,3ALA 7SABY,[LOWL!FE] (PART2),Begad,2025-01-17,165000,41,false,,2025-11-20T05:57:42Z,"egyptian hip hop,arabic hip hop,egyptian pop",Drop [Mgmt],0.725,0.527,10,-9.319,0,0.0717,0.304,0.000114,0.382,0.146,128.002,4
spotify:track:6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Currents,Tame Impala,2015-07-17,216320,92,true,,2025-11-20T04:42:00Z,"neo-psychedelic,indie",Universal Music Australia Pty. Ltd.,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
spotify:track:1IYrnykXwYmco4bHYfZhDn,BENT EL NAS,BENT EL NAS,Mohaimen;Begad,2025-05-16,170434,35,false,,2025-11-19T09:40:48Z,"egyptian hip hop,arabic hip hop,egyptian pop",B-62,0.441,0.487,0,-8.991,1,0.0317,0.262,0.0000725,0.203,0.053,138.034,4
spotify:track:6PSBXl2tBkNZtib3XYxYIP,FARACHA ZAR2A,FARACHA ZAR2A,Begad,2025-10-01,177600,37,false,,2025-11-19T02:14:36Z,"egyptian hip hop,arabic hip hop,egyptian pop",Drop [Mgmt],0.615,0.542,8,-8.535,0,0.46,0.266,0.000291,0.0945,0.559,199.639,4
spotify:track:6SGiOtdoFbpBlW7yg9thuK,EL-INSAN KARAMA,BARA EL BEIT,Begad;EVO,2025-08-12,124750,41,false,,2025-11-19T01:53:38Z,"egyptian hip hop,arabic hip hop,egyptian pop",Drop [Mgmt],0.621,0.554,9,-8.077,0,0.2,0.819,0.00000325,0.108,0.494,76.008,4
spotify:track:5CSyfzknOYy3J5kVkcqo8T,HOWA ENTO BT7SBOHA EZAY,BARA EL BEIT,Begad,2025-08-12,155968,43,false,,2025-11-19T01:50:55Z,"egyptian hip hop,arabic hip hop,egyptian pop",Drop [Mgmt],0.737,0.562,6,-6.905,1,0.0742,0.563,0,0.136,0.332,127.848,4
spotify:track:7q0jUZnRNI8cZCnnEDMn9J,AKHER EL-YOUM,BARA EL BEIT,Begad;EVO,2025-08-12,152754,43,false,,2025-11-19T01:47:28Z,"egyptian hip hop,arabic hip hop,egyptian pop",Drop [Mgmt],0.396,0.46,2,-12.01,1,0.204,0.742,0.000211,0.164,0.326,179.166,4
spotify:track:7GAFRENGXTonmt6DwYyR5q,DONVITOCORLEONE,BARA EL BEIT,Begad;EVO,2025-08-12,118000,47,false,,2025-11-19T01:45:08Z,"egyptian hip hop,arabic hip hop,egyptian pop",Drop [Mgmt],0.47,0.571,11,-11.582,0,0.423,0.576,0.00246,0.121,0.363,90.235,4
spotify:track:0tXbC5pExBG0xeEh0WQ5BH,INSAN,INSAN,Begad;Mond,2025-07-02,194582,49,false,,2025-11-19T01:38:52Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Drop [Mgmt],0.727,0.444,4,-10.682,0,0.0726,0.718,0.0000147,0.0989,0.388,131.881,4
spotify:track:5MkUhjCJNuwk4ByhtQE4Hp,Solo,Solo,Meno Zein,2020-12-27,163798,8,false,,2025-11-19T01:36:30Z,"egyptian hip hop,arabic hip hop,egyptian pop",The Basement Records,0.696,0.699,1,-6.362,1,0.324,0.389,0,0.1,0.295,142.648,4
